episode,reward,length,success,critic_loss,policy_loss,entropy,total_loss
91,234.594452,160,1.000000,14.294524,-0.009033,0.286711,7.137942
92,250.022217,161,1.000000,4.544639,-0.009107,0.162736,2.263049
93,265.283325,156,1.000000,3.210209,-0.009849,0.253899,1.595002
94,241.416672,150,1.000000,11.327221,-0.008649,0.216929,5.654744
95,240.438904,158,1.000000,9.509714,-0.010740,0.296703,4.743821
96,257.700012,153,1.000000,6.115286,-0.011093,0.279871,3.046270
97,252.861115,148,1.000000,9.768142,-0.009323,0.246586,4.874501
98,263.694427,142,1.000000,5.839636,-0.011249,0.258542,2.908311
99,226.144440,151,1.000000,12.778944,-0.006832,0.181204,6.382459
100,247.288879,149,1.000000,8.073217,-0.008331,0.240695,4.028037
101,248.016663,150,1.000000,7.853695,-0.009767,0.201586,3.916879
102,268.077759,145,1.000000,6.960943,-0.008185,0.197418,3.472089
103,256.138885,158,1.000000,4.822511,-0.009927,0.292960,2.401036
104,262.622223,143,1.000000,12.683461,-0.007992,0.207632,6.333531
105,255.100006,153,1.000000,7.663507,-0.009230,0.260793,3.822262
106,222.294434,160,1.000000,13.317925,-0.006970,0.227024,6.651765
107,239.027771,154,1.000000,12.130878,-0.010793,0.264458,6.054382
108,228.922226,161,1.000000,9.192318,-0.008089,0.273743,4.587797
109,230.700012,153,1.000000,8.948639,-0.007369,0.327303,4.466624
110,252.961121,148,1.000000,11.208380,-0.010095,0.267729,5.593827
111,249.627777,154,1.000000,6.424898,-0.006815,0.186369,3.205447
112,244.683334,156,1.000000,11.145805,-0.007840,0.250080,5.564812
113,231.638885,158,1.000000,9.445762,-0.008378,0.230712,4.714273
114,250.949997,162,1.000000,6.160310,-0.008412,0.221921,3.071522
115,251.644440,151,1.000000,9.974353,-0.006818,0.217350,4.980141
116,246.138870,140,1.000000,8.322677,-0.007676,0.230245,4.153432
117,243.066650,159,1.000000,12.910719,-0.007024,0.185918,6.448149
118,243.138885,158,1.000000,6.376579,-0.007240,0.229834,3.180820
119,250.283325,156,1.000000,4.903477,-0.005531,0.228094,2.445979
120,262.261108,148,1.000000,7.128940,-0.008348,0.246686,3.555876
121,218.933319,165,1.000000,10.325846,-0.012272,0.301678,5.150349
122,253.838898,176,1.000000,7.863089,-0.005583,0.190901,3.925770
123,250.316666,150,1.000000,5.365116,-0.008690,0.213609,2.673655
124,248.455566,155,1.000000,9.659010,-0.008419,0.176925,4.820909
125,234.850006,162,1.000000,7.040150,-0.008089,0.231759,3.511755
126,244.711105,157,1.000000,8.883560,-0.007474,0.213207,4.434093
127,259.261108,166,1.000000,5.718919,-0.007091,0.181049,2.852187
128,254.561096,166,1.000000,9.323092,-0.009267,0.276540,4.652002
129,256.400024,153,1.000000,4.193266,-0.007706,0.222545,2.088705
130,264.438904,176,1.000000,4.896973,-0.009352,0.232249,2.438902
131,252.338882,158,1.000000,4.335941,-0.006132,0.159235,2.161679
132,265.405548,146,1.000000,4.829261,-0.009596,0.284858,2.404749
133,249.227753,154,1.000000,6.244845,-0.008627,0.210360,3.113585
134,257.261108,166,1.000000,9.143841,-0.005935,0.220084,4.565765
135,256.238892,158,1.000000,8.598779,-0.008096,0.226640,4.291067
136,277.138885,140,1.000000,6.258404,-0.008151,0.188378,3.120863
137,254.494446,160,1.000000,9.617320,-0.007770,0.186289,4.800703
138,254.416656,150,1.000000,8.434548,-0.007233,0.224068,4.209817
139,260.733337,147,1.000000,8.203213,-0.006456,0.216296,4.094934
140,256.672241,152,1.000000,3.633667,-0.008857,0.217024,1.807759
141,259.305542,164,1.000000,4.993138,-0.009042,0.233263,2.487294
142,259.622223,161,1.000000,11.327279,-0.007263,0.224311,5.656152
143,268.616669,150,1.000000,6.319246,-0.008484,0.210398,3.150928
144,265.088867,149,1.000000,3.032361,-0.009448,0.244371,1.506488
145,256.661102,148,1.000000,4.649913,-0.009673,0.299639,2.314984
146,246.433334,165,1.000000,6.387456,-0.006815,0.214060,3.186699
147,248.527771,154,1.000000,5.102707,-0.008336,0.215365,2.542802
148,219.411118,157,1.000000,7.458915,-0.008419,0.300201,3.720739
149,223.766647,159,1.000000,13.331708,-0.008316,0.240429,6.657297
150,253.244431,151,1.000000,6.550347,-0.010601,0.235058,3.264338
151,257.311096,157,1.000000,4.526848,-0.008747,0.272470,2.254405
152,258.838867,158,1.000000,4.850398,-0.009679,0.231258,2.415288
153,241.600006,153,1.000000,6.456290,-0.009093,0.258873,3.218793
154,253.522217,161,1.000000,7.265066,-0.006286,0.205890,3.626041
155,251.277786,163,1.000000,8.665247,-0.006001,0.185561,4.326437
156,232.855560,155,1.000000,10.281516,-0.008545,0.259719,5.131953
157,255.927780,154,1.000000,7.456743,-0.010089,0.259001,3.718024
158,239.477783,163,1.000000,5.553069,-0.005531,0.163992,2.770840
159,267.722229,143,1.000000,7.089231,-0.008393,0.183509,3.536039
160,258.033325,147,1.000000,6.198616,-0.010296,0.278499,3.088734
161,258.200012,153,1.000000,6.637796,-0.006671,0.199084,3.312028
162,237.583328,156,1.000000,10.313009,-0.005822,0.156646,5.150525
163,244.166656,159,1.000000,9.628743,-0.007508,0.274925,4.806589
164,218.977783,163,1.000000,11.527756,-0.007643,0.292862,5.755942
165,252.394440,142,1.000000,10.606893,-0.008190,0.261084,5.294996
166,262.327759,154,1.000000,4.576945,-0.006245,0.193372,2.282034
167,240.600006,153,1.000000,12.510256,-0.006969,0.158746,6.248000
168,259.122223,161,1.000000,5.673884,-0.005364,0.149053,2.831429
169,243.411118,157,1.000000,6.402677,-0.006835,0.248905,3.194255
170,249.500000,153,1.000000,3.864981,-0.005398,0.148496,1.926944
171,252.127777,154,1.000000,4.324706,-0.008836,0.206187,2.153311
172,267.366669,141,1.000000,9.639848,-0.006769,0.170947,4.812984
173,253.488892,167,1.000000,12.036173,-0.007953,0.215832,6.009917
174,253.022217,161,1.000000,5.011947,-0.006490,0.159767,2.499324
175,241.111099,157,1.000000,12.467419,-0.008188,0.222450,6.225299
176,231.333328,165,1.000000,12.645744,-0.003270,0.172134,6.319429
177,240.705551,146,1.000000,7.071426,-0.011026,0.235550,3.524451
178,245.722229,161,1.000000,10.362192,-0.007016,0.189721,5.173890
179,261.350006,144,1.000000,8.204091,-0.006590,0.173446,4.095282
180,246.066666,141,1.000000,6.676204,-0.009422,0.217418,3.328463
181,250.183334,156,1.000000,14.610893,-0.006124,0.226576,7.299096
182,246.188873,149,1.000000,6.989281,-0.009069,0.202513,3.485369
183,259.649994,144,1.000000,9.436612,-0.005843,0.174857,4.712289
184,257.744446,151,1.000000,3.293635,-0.008385,0.243461,1.638189
185,213.061111,166,1.000000,17.971622,-0.006164,0.189594,8.979458
186,216.883331,156,1.000000,10.782247,-0.009779,0.273380,5.381071
187,226.305542,146,1.000000,6.180368,-0.010734,0.301582,3.079148
188,259.933319,147,1.000000,3.928871,-0.005805,0.154041,1.958477
189,233.022217,161,1.000000,6.592899,-0.006139,0.162662,3.290148
190,234.644440,151,1.000000,5.924351,-0.009126,0.251524,2.952798
191,198.133331,165,1.000000,13.807380,-0.008226,0.252750,6.895211
192,240.283325,156,1.000000,10.880379,-0.007375,0.154731,5.432660
193,239.233322,165,1.000000,4.788480,-0.004991,0.188308,2.389061
194,251.455551,155,1.000000,4.368921,-0.005498,0.200912,2.178761
195,284.750000,144,1.000000,13.995755,-0.005953,0.177875,6.991746
196,211.866653,159,1.000000,21.307199,-0.008474,0.186575,10.644939
197,264.527771,154,1.000000,5.379206,-0.006470,0.151655,2.682982
198,248.972214,170,1.000000,6.126093,-0.013017,0.269221,3.049761
199,255.099991,153,1.000000,3.581378,-0.006840,0.232586,1.783616
200,266.272217,152,1.000000,6.888979,-0.008404,0.248380,3.435838
201,256.488892,149,1.000000,5.770186,-0.007047,0.174853,2.877871
202,256.422211,143,1.000000,5.698710,-0.006498,0.138298,2.842718
203,250.916656,150,1.000000,6.119857,-0.007881,0.192943,3.051855
204,248.727783,154,1.000000,6.255316,-0.004053,0.133796,3.123471
205,221.766663,159,1.000000,12.168125,-0.005302,0.186888,6.078574
206,219.399994,153,1.000000,19.350733,-0.008764,0.250845,9.666352
207,247.816650,150,1.000000,5.943225,-0.009147,0.204614,2.962261
208,258.272217,170,1.000000,10.943569,-0.005839,0.132912,5.465813
209,260.644409,151,1.000000,7.530599,-0.008700,0.233375,3.756366
210,251.033325,165,1.000000,10.329878,-0.005170,0.193681,5.159576
211,240.588867,149,1.000000,8.222788,-0.007661,0.246963,4.103486
212,262.022217,143,1.000000,6.454204,-0.007280,0.218565,3.219603
213,255.822250,143,1.000000,12.764720,-0.008118,0.202474,6.374039
214,255.816650,150,1.000000,6.640720,-0.008972,0.218186,3.311170
215,232.972229,170,1.000000,11.242251,-0.006694,0.188484,5.614242
216,231.705551,146,1.000000,10.440971,-0.009132,0.202035,5.211151
217,252.872223,170,1.000000,8.496851,-0.007371,0.192165,4.240863
218,264.544434,151,1.000000,4.740444,-0.005981,0.212611,2.364028
219,225.855560,155,1.000000,9.894087,-0.009204,0.230613,4.937609
220,214.711105,157,1.000000,12.781924,-0.009018,0.207525,6.381737
221,245.850006,144,1.000000,4.525120,-0.007293,0.164621,2.255102
222,222.994431,160,1.000000,7.950643,-0.010769,0.244718,3.964308
223,261.450012,144,1.000000,14.796638,-0.005373,0.229974,7.392716
224,247.472229,152,1.000000,5.786934,-0.008354,0.231447,2.884882
225,217.005554,164,1.000000,22.209161,-0.007362,0.206977,11.097011
226,258.183350,156,1.000000,18.599851,-0.005584,0.159908,9.294181
227,254.333313,165,1.000000,7.016519,-0.008597,0.189999,3.499472
228,256.211121,157,1.000000,3.262416,-0.009814,0.254324,1.621140
229,265.588867,149,1.000000,4.124250,-0.006424,0.179001,2.055522
230,236.627777,154,1.000000,17.119068,-0.008329,0.176260,8.551029
231,259.972229,152,1.000000,14.600782,-0.004822,0.133671,7.295435
232,260.527771,154,1.000000,4.884029,-0.008278,0.195618,2.433541
233,232.416672,168,1.000000,8.836342,-0.005987,0.193200,4.411990
234,244.933334,147,1.000000,13.511077,-0.007759,0.173227,6.747606
235,262.827759,154,1.000000,5.408794,-0.010704,0.229605,2.693463
236,266.050018,144,1.000000,5.420560,-0.006542,0.166910,2.703571
237,250.750000,144,1.000000,4.324841,-0.010510,0.234674,2.151676
238,248.716660,150,1.000000,7.761429,-0.008328,0.190939,3.872195
239,246.133331,165,1.000000,11.849950,-0.008010,0.203747,5.916761
240,257.527771,154,1.000000,6.199882,-0.008610,0.206796,3.091125
241,258.133331,147,1.000000,5.998530,-0.007485,0.218708,2.991561
242,251.672241,152,1.000000,8.882901,-0.005030,0.186098,4.436234
243,249.016663,150,1.000000,10.364678,-0.006959,0.169554,5.175210
244,219.244446,169,1.000000,7.643703,-0.006643,0.213285,3.814995
245,231.983337,156,1.000000,17.671932,-0.006084,0.193487,8.829689
246,264.188873,149,1.000000,6.304682,-0.006922,0.183325,3.145236
247,242.583344,156,1.000000,7.192597,-0.008325,0.228946,3.587745
248,260.216675,150,1.000000,6.499626,-0.007883,0.162458,3.241768
249,249.355560,155,1.000000,4.973052,-0.009141,0.219452,2.477166
250,267.333313,165,1.000000,8.419179,-0.007648,0.175924,4.201765
251,227.127777,154,1.000000,6.945896,-0.006845,0.212810,3.465890
252,258.327759,154,1.000000,1.761015,-0.009683,0.243997,0.870580
253,248.061096,148,1.000000,5.376600,-0.009268,0.185228,2.678847
254,249.688873,167,1.000000,6.754222,-0.007711,0.221998,3.369178
255,249.505554,146,1.000000,7.319748,-0.009436,0.160755,3.650277
256,260.472229,152,1.000000,4.485618,-0.008697,0.200877,2.233911
