episode,reward,length,success,completed,critic_loss,policy_loss,entropy
1,133.6700,178,1,100,464.620087,-0.011348,0.511526
2,131.4000,223,1,100,222.451614,0.035528,0.540748
3,118.9800,191,1,100,200.749680,-0.314738,0.662569
